"entity_key","date","year","year_season","year_quarter","year_month","year_week","season_number","season","season_de","season_einkauf","month","week","day_of_month","day_of_week","day_name","month_name","last_day_of_month","last_day_of_week","business_day","working_days","next_ship_day"
69,2012-03-09,2012,"2012-1-SS","2012-Q1","2012-03","2012-10",1,SS,FS,FS12,3,10,9,5,Friday   ,March    ,2012-03-31,2012-03-11,2012-03-09,1,2012-03-12
70,2012-03-10,2012,"2012-1-SS","2012-Q1","2012-03","2012-10",1,SS,FS,FS12,3,10,10,6,Saturday ,March    ,2012-03-31,2012-03-11,2012-03-12,0,2012-03-12
71,2012-03-11,2012,"2012-1-SS","2012-Q1","2012-03","2012-10",1,SS,FS,FS12,3,10,11,7,Sunday   ,March    ,2012-03-31,2012-03-11,2012-03-12,0,2012-03-12
72,2012-03-12,2012,"2012-1-SS","2012-Q1","2012-03","2012-11",1,SS,FS,FS12,3,11,12,1,Monday   ,March    ,2012-03-31,2012-03-18,2012-03-12,1,2012-03-13
73,2012-03-13,2012,"2012-1-SS","2012-Q1","2012-03","2012-11",1,SS,FS,FS12,3,11,13,2,Tuesday  ,March    ,2012-03-31,2012-03-18,2012-03-13,1,2012-03-14
74,2012-03-14,2012,"2012-1-SS","2012-Q1","2012-03","2012-11",1,SS,FS,FS12,3,11,14,3,Wednesday,March    ,2012-03-31,2012-03-18,2012-03-14,1,2012-03-15
75,2012-03-15,2012,"2012-1-SS","2012-Q1","2012-03","2012-11",1,SS,FS,FS12,3,11,15,4,Thursday ,March    ,2012-03-31,2012-03-18,2012-03-15,1,2012-03-16
76,2012-03-16,2012,"2012-1-SS","2012-Q1","2012-03","2012-11",1,SS,FS,FS12,3,11,16,5,Friday   ,March    ,2012-03-31,2012-03-18,2012-03-16,1,2012-03-19
77,2012-03-17,2012,"2012-1-SS","2012-Q1","2012-03","2012-11",1,SS,FS,FS12,3,11,17,6,Saturday ,March    ,2012-03-31,2012-03-18,2012-03-19,0,2012-03-19
78,2012-03-18,2012,"2012-1-SS","2012-Q1","2012-03","2012-11",1,SS,FS,FS12,3,11,18,7,Sunday   ,March    ,2012-03-31,2012-03-18,2012-03-19,0,2012-03-19
79,2012-03-19,2012,"2012-1-SS","2012-Q1","2012-03","2012-12",1,SS,FS,FS12,3,12,19,1,Monday   ,March    ,2012-03-31,2012-03-25,2012-03-19,1,2012-03-20
80,2012-03-20,2012,"2012-1-SS","2012-Q1","2012-03","2012-12",1,SS,FS,FS12,3,12,20,2,Tuesday  ,March    ,2012-03-31,2012-03-25,2012-03-20,1,2012-03-21
81,2012-03-21,2012,"2012-1-SS","2012-Q1","2012-03","2012-12",1,SS,FS,FS12,3,12,21,3,Wednesday,March    ,2012-03-31,2012-03-25,2012-03-21,1,2012-03-22
82,2012-03-22,2012,"2012-1-SS","2012-Q1","2012-03","2012-12",1,SS,FS,FS12,3,12,22,4,Thursday ,March    ,2012-03-31,2012-03-25,2012-03-22,1,2012-03-23
83,2012-03-23,2012,"2012-1-SS","2012-Q1","2012-03","2012-12",1,SS,FS,FS12,3,12,23,5,Friday   ,March    ,2012-03-31,2012-03-25,2012-03-23,1,2012-03-26
84,2012-03-24,2012,"2012-1-SS","2012-Q1","2012-03","2012-12",1,SS,FS,FS12,3,12,24,6,Saturday ,March    ,2012-03-31,2012-03-25,2012-03-26,0,2012-03-26
85,2012-03-25,2012,"2012-1-SS","2012-Q1","2012-03","2012-12",1,SS,FS,FS12,3,12,25,7,Sunday   ,March    ,2012-03-31,2012-03-25,2012-03-26,0,2012-03-26
86,2012-03-26,2012,"2012-1-SS","2012-Q1","2012-03","2012-13",1,SS,FS,FS12,3,13,26,1,Monday   ,March    ,2012-03-31,2012-04-01,2012-03-26,1,2012-03-27
87,2012-03-27,2012,"2012-1-SS","2012-Q1","2012-03","2012-13",1,SS,FS,FS12,3,13,27,2,Tuesday  ,March    ,2012-03-31,2012-04-01,2012-03-27,1,2012-03-28
88,2012-03-28,2012,"2012-1-SS","2012-Q1","2012-03","2012-13",1,SS,FS,FS12,3,13,28,3,Wednesday,March    ,2012-03-31,2012-04-01,2012-03-28,1,2012-03-29
89,2012-03-29,2012,"2012-1-SS","2012-Q1","2012-03","2012-13",1,SS,FS,FS12,3,13,29,4,Thursday ,March    ,2012-03-31,2012-04-01,2012-03-29,1,2012-03-30
90,2012-03-30,2012,"2012-1-SS","2012-Q1","2012-03","2012-13",1,SS,FS,FS12,3,13,30,5,Friday   ,March    ,2012-03-31,2012-04-01,2012-03-30,1,2012-04-02
91,2012-03-31,2012,"2012-1-SS","2012-Q1","2012-03","2012-13",1,SS,FS,FS12,3,13,31,6,Saturday ,March    ,2012-03-31,2012-04-01,2012-04-02,0,2012-04-02
92,2012-04-01,2012,"2012-1-SS","2012-Q2","2012-04","2012-13",1,SS,FS,FS12,4,13,1,7,Sunday   ,April    ,2012-04-30,2012-04-01,2012-04-02,0,2012-04-02
93,2012-04-02,2012,"2012-1-SS","2012-Q2","2012-04","2012-14",1,SS,FS,FS12,4,14,2,1,Monday   ,April    ,2012-04-30,2012-04-08,2012-04-02,1,2012-04-03
94,2012-04-03,2012,"2012-1-SS","2012-Q2","2012-04","2012-14",1,SS,FS,FS12,4,14,3,2,Tuesday  ,April    ,2012-04-30,2012-04-08,2012-04-03,1,2012-04-04
95,2012-04-04,2012,"2012-1-SS","2012-Q2","2012-04","2012-14",1,SS,FS,FS12,4,14,4,3,Wednesday,April    ,2012-04-30,2012-04-08,2012-04-04,1,2012-04-05
96,2012-04-05,2012,"2012-1-SS","2012-Q2","2012-04","2012-14",1,SS,FS,FS12,4,14,5,4,Thursday ,April    ,2012-04-30,2012-04-08,2012-04-05,1,2012-04-10
97,2012-04-06,2012,"2012-1-SS","2012-Q2","2012-04","2012-14",1,SS,FS,FS12,4,14,6,5,Friday   ,April    ,2012-04-30,2012-04-08,2012-04-10,0,2012-04-10
98,2012-04-07,2012,"2012-1-SS","2012-Q2","2012-04","2012-14",1,SS,FS,FS12,4,14,7,6,Saturday ,April    ,2012-04-30,2012-04-08,2012-04-10,0,2012-04-10
99,2012-04-08,2012,"2012-1-SS","2012-Q2","2012-04","2012-14",1,SS,FS,FS12,4,14,8,7,Sunday   ,April    ,2012-04-30,2012-04-08,2012-04-10,0,2012-04-10
100,2012-04-09,2012,"2012-1-SS","2012-Q2","2012-04","2012-15",1,SS,FS,FS12,4,15,9,1,Monday   ,April    ,2012-04-30,2012-04-15,2012-04-10,0,2012-04-10
101,2012-04-10,2012,"2012-1-SS","2012-Q2","2012-04","2012-15",1,SS,FS,FS12,4,15,10,2,Tuesday  ,April    ,2012-04-30,2012-04-15,2012-04-10,1,2012-04-11
102,2012-04-11,2012,"2012-1-SS","2012-Q2","2012-04","2012-15",1,SS,FS,FS12,4,15,11,3,Wednesday,April    ,2012-04-30,2012-04-15,2012-04-11,1,2012-04-12
103,2012-04-12,2012,"2012-1-SS","2012-Q2","2012-04","2012-15",1,SS,FS,FS12,4,15,12,4,Thursday ,April    ,2012-04-30,2012-04-15,2012-04-12,1,2012-04-13
